,person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score
person_age,1.0,0.19,0.95,0.05,0.01,-0.04,0.86,0.18
person_income,0.19,1.0,0.19,0.24,0.0,-0.23,0.12,0.04
person_emp_exp,0.95,0.19,1.0,0.04,0.02,-0.04,0.82,0.19
loan_amnt,0.05,0.24,0.04,1.0,0.15,0.59,0.04,0.01
loan_int_rate,0.01,0.0,0.02,0.15,1.0,0.13,0.02,0.01
loan_percent_income,-0.04,-0.23,-0.04,0.59,0.13,1.0,-0.03,-0.01
cb_person_cred_hist_length,0.86,0.12,0.82,0.04,0.02,-0.03,1.0,0.16
credit_score,0.18,0.04,0.19,0.01,0.01,-0.01,0.16,1.0
